"Step","exp80 - metrics/mAP50-95(B)","exp80 - metrics/mAP50-95(B)__MIN","exp80 - metrics/mAP50-95(B)__MAX"
"1","0.01488","0.01488","0.01488"
"2","0.09188","0.09188","0.09188"
"3","0.12966","0.12966","0.12966"
"4","0.18973","0.18973","0.18973"
"5","0.2379","0.2379","0.2379"
"6","0.26598","0.26598","0.26598"
"7","0.29247","0.29247","0.29247"
"8","0.30842","0.30842","0.30842"
"9","0.32059","0.32059","0.32059"
"10","0.33269","0.33269","0.33269"
"11","0.34245","0.34245","0.34245"
"12","0.34831","0.34831","0.34831"
"13","0.35195","0.35195","0.35195"
"14","0.35564","0.35564","0.35564"
"15","0.35926","0.35926","0.35926"
"16","0.36278","0.36278","0.36278"
"17","0.3646","0.3646","0.3646"
"18","0.36727","0.36727","0.36727"
"19","0.37042","0.37042","0.37042"
"20","0.37315","0.37315","0.37315"
"21","0.37664","0.37664","0.37664"
"22","0.37932","0.37932","0.37932"
"23","0.38194","0.38194","0.38194"
"24","0.38502","0.38502","0.38502"
"25","0.38748","0.38748","0.38748"
"26","0.38919","0.38919","0.38919"
"27","0.39068","0.39068","0.39068"
"28","0.39264","0.39264","0.39264"
"29","0.39507","0.39507","0.39507"
"30","0.39778","0.39778","0.39778"
"31","0.39995","0.39995","0.39995"
"32","0.40201","0.40201","0.40201"
"33","0.40359","0.40359","0.40359"
"34","0.40594","0.40594","0.40594"
"35","0.40774","0.40774","0.40774"
"36","0.41013","0.41013","0.41013"
"37","0.41245","0.41245","0.41245"
"38","0.41475","0.41475","0.41475"
"39","0.41592","0.41592","0.41592"
"40","0.41728","0.41728","0.41728"
"41","0.4187","0.4187","0.4187"
"42","0.4207","0.4207","0.4207"
"43","0.422","0.422","0.422"
"44","0.42472","0.42472","0.42472"
"45","0.42573","0.42573","0.42573"
"46","0.427","0.427","0.427"
"47","0.42855","0.42855","0.42855"
"48","0.42959","0.42959","0.42959"
"49","0.43117","0.43117","0.43117"
"50","0.43241","0.43241","0.43241"
"51","0.43345","0.43345","0.43345"
"52","0.43508","0.43508","0.43508"
"53","0.43656","0.43656","0.43656"
"54","0.43681","0.43681","0.43681"
"55","0.43885","0.43885","0.43885"
"56","0.44018","0.44018","0.44018"
"57","0.44085","0.44085","0.44085"
"58","0.44318","0.44318","0.44318"
"59","0.44402","0.44402","0.44402"
"60","0.44464","0.44464","0.44464"
"61","0.44561","0.44561","0.44561"
"62","0.44666","0.44666","0.44666"
"63","0.44781","0.44781","0.44781"
"64","0.449","0.449","0.449"
"65","0.45106","0.45106","0.45106"
"66","0.45168","0.45168","0.45168"
"67","0.4518","0.4518","0.4518"
"68","0.45268","0.45268","0.45268"
"69","0.45369","0.45369","0.45369"
"70","0.45531","0.45531","0.45531"
"71","0.45732","0.45732","0.45732"
"72","0.45741","0.45741","0.45741"
"73","0.45853","0.45853","0.45853"
"74","0.45949","0.45949","0.45949"
"75","0.46065","0.46065","0.46065"
"76","0.46113","0.46113","0.46113"
"77","0.4621","0.4621","0.4621"
"78","0.46289","0.46289","0.46289"
"79","0.46305","0.46305","0.46305"
"80","0.46314064113146974","0.46314064113146974","0.46314064113146974"
